"nonecholoc","loc","nmethods","ccomdeep","ccom","nest","hvol","nIncomingCalls","nIncomingCallsUniq","nOutgoingInternCalls","nOutgoingExternFlsCalled","nOutgoingExternFlsCalledUniq","nOutgoingExternCallsUniq","IsVulnerable"
4,6,0,3,3,1,19.709354,0,0,0,1,1,1,0
16,21,0,5,5,3,267.917975,0,0,0,1,1,4,0
6,6,0,2,2,1,14.484941,0,0,0,1,1,2,0
11,14,0,4,4,3,167.641562,0,0,0,0,0,0,0
4,6,0,4,4,2,64.472383,0,0,0,1,1,2,0
193,193,9,18,18,3,1248.974281,0,0,1,21,8,82,0
90,90,5,3,3,1,178.72317,0,0,0,12,5,29,0
555,555,28,84,84,5,6607.068447,2,1,4,53,18,186,1
11,11,1,2,2,1,83.949556,0,0,0,5,4,7,1
3,4,0,2,2,1,23.350922,0,0,0,1,1,1,0
41,41,3,8,8,2,441.045015,0,0,1,13,6,19,0
29,29,2,3,3,1,62.169798,0,0,0,2,2,4,1
304,304,9,8,8,4,598.53952,0,0,0,27,9,62,1
329,329,15,41,41,6,2757.455713,4,2,2,27,13,94,1
422,422,22,46,46,4,3620.821862,0,0,1,42,14,153,1
40,40,3,1,1,0,55.151591,0,0,0,7,5,11,0
289,289,16,35,35,5,1785.119742,4,2,4,29,9,58,1
273,273,8,31,31,3,2371.397211,0,0,1,28,13,95,0
395,395,22,44,44,3,3494.889735,0,0,6,42,15,166,0
324,324,1,1,1,0,65.916737,0,0,0,1,1,53,0
1437,1437,85,221,221,4,16979.65362,87,33,28,79,20,327,1
379,379,22,43,43,3,4178.311125,4,4,3,40,15,145,1
8,11,0,6,6,1,121.862259,0,0,0,0,0,0,0
259,259,26,45,45,3,2920.280296,17,2,10,2,2,3,0
54,54,3,1,1,0,29.188652,0,0,0,3,1,10,0
302,302,13,49,49,6,3028.641053,3,1,6,50,12,110,1
52,52,5,6,6,1,384.979971,0,0,0,28,11,38,1
55,55,5,7,7,3,313.846087,1,1,1,0,0,0,0
143,143,11,13,13,2,1012.681849,0,0,0,29,16,56,0
130,130,8,15,15,3,782.042444,3,1,1,14,9,33,1
12,12,2,2,2,1,47.957905,0,0,0,8,6,11,0
50,50,3,5,5,2,320.153108,0,0,0,3,1,29,0
23,23,4,5,5,2,154.552123,0,0,1,11,7,13,0
4,5,0,1,1,0,13.862944,0,0,0,0,0,0,0
4,5,0,1,1,0,25.084633,0,0,0,1,1,1,0
5,6,0,1,1,0,27.242742,0,0,0,1,1,1,0
4,5,0,2,2,1,33.271065,0,0,0,1,1,1,0
5,7,0,2,2,1,33.080473,0,0,0,0,0,0,0
113,113,3,1,1,0,46.701844,0,0,0,3,1,17,0
438,438,33,52,52,5,4112.705701,0,0,4,38,15,123,0
32,32,3,3,3,1,315.381967,0,0,0,13,11,25,0
5,6,0,3,3,2,41.747267,0,0,0,0,0,0,0
5,7,0,2,2,1,29.188652,0,0,0,0,0,0,0
2,3,0,1,1,0,4.394449,0,0,0,0,0,0,0
262,262,9,40,40,4,2319.063956,0,0,0,38,15,132,0
128,128,3,1,1,0,56.144922,0,0,0,4,2,21,0
392,392,21,51,51,9,3666.108751,2,2,11,24,12,95,1
70,70,2,13,13,3,642.619368,0,0,0,22,11,37,0
2,3,0,1,1,0,4.394449,0,0,0,0,0,0,0
4,6,0,3,3,1,34.04343,0,0,0,0,0,0,0
4,4,0,1,1,0,14.484941,0,0,0,0,0,0,0
2,3,0,1,1,0,4.394449,0,0,0,0,0,0,0
45,45,4,6,6,2,364.702709,0,0,0,14,5,38,0
132,132,3,1,1,0,64.462688,0,0,0,4,2,23,0
639,639,34,106,106,8,7152.25777,10,3,9,40,14,90,1
54,54,5,11,11,3,516.186517,0,0,0,16,7,24,0
145,145,6,10,10,1,1172.106165,0,0,0,22,12,101,0
96,96,4,2,2,1,82.078379,0,0,0,6,4,21,0
193,193,13,20,20,3,1421.648402,4,2,3,30,12,93,0
45,45,2,7,7,2,356.162413,0,0,0,17,12,38,0
77,77,7,5,5,1,356.643771,0,0,1,6,4,24,1
4,6,0,2,2,1,51.986039,0,0,0,0,0,0,0
3,5,0,2,2,1,13.862944,0,0,0,0,0,0,0
19,26,0,10,10,1,375.010352,0,0,0,1,1,3,1
28,38,0,19,19,1,666.482139,0,0,0,2,2,5,1
1287,1287,50,176,176,6,13481.589053,0,0,6,91,22,525,0
1671,1671,53,131,131,4,9042.860553,0,0,0,80,18,523,1
1189,1189,55,102,102,5,9529.81954,58,38,10,66,22,258,1
575,575,21,80,80,5,6137.134264,1,1,5,42,14,192,0
273,273,1,1,1,0,49.437553,0,0,0,1,1,36,0
689,689,46,141,141,6,8028.254234,37,9,25,31,15,139,1
72,72,3,14,14,4,879.544185,0,0,0,31,12,36,0
35,35,2,3,3,1,100.033025,0,0,0,4,4,14,0
56,56,4,11,11,4,286.220146,0,0,1,8,5,20,0
41,41,2,2,2,1,49.906597,0,0,0,1,1,3,1
40,40,1,7,7,3,427.910017,0,0,0,18,11,31,0
165,165,12,30,30,6,1734.217667,1,1,4,16,9,50,1
28,28,1,7,7,3,363.66795,0,0,0,8,6,22,0
150,150,8,25,25,3,1353.911023,0,0,1,24,11,52,1
44,44,3,1,1,0,30.761144,0,0,0,5,2,9,0
227,227,16,29,29,3,1516.198405,0,0,4,19,10,40,1
245,245,6,67,67,8,2374.722241,4,3,5,10,5,23,0
141,141,8,22,22,4,1351.399124,4,3,3,21,9,27,0
35,35,5,2,2,1,68.615491,0,0,1,6,3,12,0
240,240,15,30,30,5,1696.704548,4,2,6,17,9,61,0
161,161,3,25,25,5,1337.988375,0,0,0,13,6,59,0
63,63,3,9,9,4,306.562815,0,0,0,9,4,26,0
119,119,2,13,13,2,702.79802,0,0,0,8,6,64,0
64,64,3,2,2,1,35.155593,0,0,0,6,4,10,0
373,373,22,57,57,4,3912.279303,0,0,7,36,12,114,1
2,3,0,1,1,0,4.394449,0,0,0,0,0,0,0
4,6,0,2,2,1,19.313255,0,0,0,0,0,0,0
3,4,0,1,1,0,20.922693,0,0,0,0,0,0,0
2,3,0,1,1,0,4.394449,0,0,0,0,0,0,0
714,714,29,67,67,5,5684.483004,0,0,0,45,17,348,1
278,278,1,1,1,0,52.73339,0,0,0,1,1,40,1
1441,1441,81,210,210,10,14384.158936,81,45,30,68,19,371,1
179,179,20,19,19,5,1929.120376,1,1,0,41,14,91,1
15,15,0,1,1,0,19.408121,0,0,0,0,0,0,0
4,5,0,1,1,0,40.864113,0,0,0,0,0,0,0
2,3,0,2,2,1,13.862944,0,0,0,0,0,0,0
8,10,0,4,4,1,84.486826,0,0,0,0,0,0,0
8,9,0,6,6,1,95.006064,0,0,0,0,0,0,0
17,18,0,10,10,1,440.559953,0,0,0,2,2,5,1
112,112,5,22,22,2,1329.786339,0,0,0,24,7,50,1
11,11,2,2,2,1,74.859896,0,0,0,2,1,2,0
4,6,0,2,2,1,62.169798,0,0,0,0,0,0,0
53,53,0,1,1,0,11.090355,0,0,0,1,1,15,0
9,14,0,5,5,1,121.396637,0,0,0,1,1,1,0
28,32,0,10,10,2,423.077415,0,0,0,4,3,6,1
53,53,0,1,1,0,11.090355,0,0,0,1,1,15,0
8,13,0,7,7,1,135.994241,0,0,0,0,0,0,0
30,34,0,18,18,2,681.392586,0,0,0,5,4,8,1
47,47,8,9,9,2,347.603275,4,2,0,9,5,15,0
4,5,0,1,1,0,51.986039,0,0,0,0,0,0,0
3,4,0,2,2,1,13.862944,0,0,0,0,0,0,0
7,9,0,4,4,1,86.971733,0,0,0,0,0,0,0
7,9,0,5,5,1,92.367007,0,0,0,0,0,0,0
26,35,0,14,14,2,599.412373,0,0,0,2,2,9,1
352,352,16,62,62,6,3538.457691,2,2,11,45,16,80,1
6,6,0,1,1,0,8.317766,0,0,0,3,3,3,0
